date,battery,signal,variation
2019-10-24 23:19:44.880000,2030,686,179
2019-10-25 00:19:44.880000,1597,685,176
2019-10-25 01:19:44.880000,1647,687,181
2019-10-25 02:19:44.880000,1756,689,181
2019-10-25 03:19:44.880000,2237,693,184
2019-10-25 04:19:44.880000,1539,695,186
2019-10-25 05:19:44.880000,2144,694,186
2019-10-25 06:19:44.880000,1543,648,151
2019-10-25 07:19:44.880000,1303,562,81
2019-10-25 08:19:44.880000,1113,565,83
2019-10-25 09:19:44.880000,970,561,83
2019-10-25 10:19:44.880000,1213,567,84
2019-10-25 11:19:44.880000,1167,559,82
2019-10-25 12:19:44.880000,1299,557,83
2019-10-25 13:19:44.880000,1183,540,80
2019-10-25 14:19:44.880000,1148,550,78
2019-10-25 15:19:44.880000,964,552,78
2019-10-25 16:19:44.880000,1614,641,150
2019-10-25 17:19:44.880000,1828,692,188
2019-10-25 18:19:44.880000,1791,696,190
2019-10-25 19:19:44.880000,1823,694,186
2019-10-25 20:19:44.880000,1929,690,186
2019-10-25 21:19:44.880000,1684,691,189
2019-10-25 22:19:44.880000,1836,690,187
2019-10-25 23:19:44.880000,2253,683,184
2019-10-26 00:19:44.880000,2074,684,181
2019-10-26 01:19:44.880000,1778,688,181
2019-10-26 02:19:44.880000,2201,691,184
2019-10-26 03:19:44.880000,1982,695,187
2019-10-26 04:19:44.880000,1995,695,188
2019-10-26 05:19:44.880000,1721,693,185
2019-10-26 06:19:44.880000,1811,692,185
2019-10-26 07:19:44.880000,1628,602,115
2019-10-26 08:19:44.880000,1070,561,81
2019-10-26 09:19:44.880000,1031,562,85
2019-10-26 10:19:44.880000,1314,563,85
2019-10-26 11:19:44.880000,1184,559,85
2019-10-26 12:19:44.880000,1011,555,85
2019-10-26 13:19:44.880000,1164,576,98
2019-10-26 14:19:44.880000,1621,684,178
2019-10-26 15:19:44.880000,1671,686,185
2019-10-26 16:19:44.880000,1939,685,182
2019-10-26 17:19:44.880000,1817,686,182
2019-10-26 18:19:44.880000,1957,686,183
2019-10-26 19:19:44.880000,2171,687,180
2019-10-26 20:19:44.880000,2053,683,177
2019-10-26 21:19:44.880000,1617,679,178
2019-10-26 22:19:44.880000,1836,686,183
2019-10-26 23:19:44.880000,1830,680,178
2019-10-27 00:19:44.880000,1769,679,177
2019-10-27 01:19:44.880000,1690,687,180
2019-10-27 02:19:44.880000,1902,687,185
2019-10-27 03:19:44.880000,1630,692,188
2019-10-27 04:19:44.880000,1906,648,151
2019-10-27 05:19:44.880000,1120,554,78
2019-10-27 06:19:44.880000,1259,555,77
2019-10-27 07:19:44.880000,1036,559,80
2019-10-27 08:19:44.880000,1376,560,81
2019-10-27 09:19:44.880000,1165,558,82
2019-10-27 10:19:44.880000,1140,556,81
