date,battery,signal,variation
2019-10-24 23:36:32.240000,507,692,186
2019-10-24 23:53:19.820000,514,693,179
2019-10-25 00:10:07.400000,517,690,173
2019-10-25 00:26:54.980000,516,692,176
2019-10-25 00:43:42.560000,515,692,178
2019-10-25 01:00:30.140000,518,692,174
2019-10-25 01:17:17.710000,512,690,177
2019-10-25 01:34:05.290000,510,693,183
2019-10-25 01:50:52.860000,511,691,181
2019-10-25 02:07:40.440000,515,694,179
2019-10-25 02:24:28.010000,511,693,182
2019-10-25 02:41:15.590000,516,695,180
2019-10-25 02:58:03.150000,511,694,183
2019-10-25 03:14:50.730000,512,697,185
2019-10-25 03:31:38.300000,519,697,179
2019-10-25 03:48:25.880000,512,697,185
2019-10-25 04:05:13.470000,514,701,187
2019-10-25 04:22:01.050000,515,699,184
2019-10-25 04:38:48.630000,510,699,190
2019-10-25 04:55:36.200000,516,700,185
2019-10-25 05:12:23.780000,515,700,185
2019-10-25 05:29:11.360000,514,700,186
2019-10-25 05:45:58.940000,515,702,187
2019-10-25 06:02:46.500000,507,698,191
2019-10-25 06:19:34.070000,518,700,182
2019-10-25 06:36:21.640000,514,701,188
2019-10-25 06:53:09.210000,504,699,195
2019-10-25 07:09:56.570000,500,611,110
2019-10-25 07:26:43.830000,490,572,82
2019-10-25 07:43:31.070000,485,566,81
2019-10-25 08:00:18.310000,485,566,81
2019-10-25 08:17:05.560000,486,569,83
2019-10-25 08:33:52.820000,488,573,85
2019-10-25 08:50:40.090000,486,571,85
2019-10-25 09:07:27.340000,487,568,82
2019-10-25 09:24:14.610000,486,569,82
2019-10-25 09:41:01.890000,489,571,82
2019-10-25 09:57:49.150000,485,570,85
2019-10-25 10:14:36.370000,473,558,85
2019-10-25 10:31:23.620000,485,568,83
2019-10-25 10:48:10.910000,491,574,84
2019-10-25 11:04:58.190000,487,571,84
2019-10-25 11:21:45.470000,489,574,85
2019-10-25 11:38:32.730000,480,562,82
2019-10-25 11:55:19.990000,482,564,82
2019-10-25 12:12:07.260000,484,565,81
2019-10-25 12:28:54.510000,479,562,83
2019-10-25 12:45:41.770000,483,567,84
2019-10-25 13:02:29.040000,481,564,83
2019-10-25 13:19:16.280000,476,557,81
2019-10-25 13:36:03.480000,463,543,81
2019-10-25 13:52:50.680000,462,543,81
2019-10-25 14:09:37.890000,469,551,82
2019-10-25 14:26:25.110000,470,548,78
2019-10-25 14:43:12.340000,477,555,78
2019-10-25 14:59:59.580000,475,555,79
2019-10-25 15:16:46.830000,479,558,80
2019-10-25 15:33:34.090000,479,558,78
2019-10-25 15:50:21.350000,483,562,79
2019-10-25 16:07:08.600000,479,557,79
2019-10-25 16:23:55.850000,477,554,77
2019-10-25 16:40:43.110000,479,560,81
2019-10-25 16:57:30.650000,508,695,187
2019-10-25 17:14:18.200000,503,694,191
2019-10-25 17:31:05.770000,511,697,185
2019-10-25 17:47:53.340000,503,696,194
2019-10-25 18:04:40.920000,513,697,184
2019-10-25 18:21:28.490000,512,698,187
2019-10-25 18:38:16.070000,516,701,185
2019-10-25 18:55:03.650000,514,702,188
2019-10-25 19:11:51.230000,508,703,195
2019-10-25 19:28:38.810000,509,704,195
2019-10-25 19:45:26.390000,517,701,184
2019-10-25 20:02:13.980000,516,700,184
2019-10-25 20:19:01.570000,514,698,184
2019-10-25 20:35:49.140000,508,695,187
2019-10-25 20:52:36.720000,505,697,192
2019-10-25 21:09:24.300000,517,696,180
2019-10-25 21:26:11.880000,506,696,190
2019-10-25 21:42:59.470000,509,701,192
2019-10-25 21:59:47.040000,509,694,186
2019-10-25 22:16:34.610000,508,694,185
2019-10-25 22:33:22.170000,502,692,191
2019-10-25 22:50:09.750000,515,698,183
2019-10-25 23:06:57.320000,507,697,190
2019-10-25 23:23:44.890000,513,698,185
2019-10-25 23:40:32.460000,510,696,185
2019-10-25 23:57:20,499,681,182
2019-10-26 00:14:07.560000,506,690,184
2019-10-26 00:30:55.120000,503,691,188
2019-10-26 00:47:42.680000,508,690,182
2019-10-26 01:04:30.240000,510,690,180
2019-10-26 01:21:17.800000,511,690,178
2019-10-26 01:38:05.380000,514,693,179
2019-10-26 01:54:52.940000,508,694,186
2019-10-26 02:11:40.510000,514,696,182
2019-10-26 02:28:28.080000,513,697,185
2019-10-26 02:45:15.640000,512,695,184
2019-10-26 03:02:03.200000,512,695,182
2019-10-26 03:18:50.780000,516,698,182
2019-10-26 03:35:38.340000,510,697,187
2019-10-26 03:52:25.910000,514,701,187
2019-10-26 04:09:13.490000,518,706,188
2019-10-26 04:26:01.050000,508,699,191
2019-10-26 04:42:48.620000,517,701,184
2019-10-26 04:59:36.190000,510,700,190
2019-10-26 05:16:23.760000,512,701,189
2019-10-26 05:33:11.320000,510,698,189
2019-10-26 05:49:58.890000,517,699,182
2019-10-26 06:06:46.460000,519,701,182
2019-10-26 06:23:34.020000,511,700,189
2019-10-26 06:40:21.580000,510,696,186
2019-10-26 06:57:09.140000,516,700,184
2019-10-26 07:13:56.700000,517,699,182
2019-10-26 07:30:44.270000,505,698,193
2019-10-26 07:47:31.650000,496,623,127
2019-10-26 08:04:18.900000,484,565,81
2019-10-26 08:21:06.150000,487,570,83
2019-10-26 08:37:53.410000,484,566,82
2019-10-26 08:54:40.660000,485,567,82
2019-10-26 09:11:27.900000,483,566,82
2019-10-26 09:28:15.150000,487,569,82
2019-10-26 09:45:02.410000,486,572,86
2019-10-26 10:01:49.660000,482,567,85
2019-10-26 10:18:36.910000,478,564,86
2019-10-26 10:35:24.150000,478,564,86
2019-10-26 10:52:11.420000,480,565,85
2019-10-26 11:08:58.710000,487,574,87
2019-10-26 11:25:45.990000,483,568,85
2019-10-26 11:42:33.240000,480,566,86
2019-10-26 11:59:20.470000,477,563,85
2019-10-26 12:16:07.700000,478,563,85
2019-10-26 12:32:54.940000,475,561,87
2019-10-26 12:49:42.160000,468,553,85
2019-10-26 13:06:29.430000,475,561,86
2019-10-26 13:23:16.690000,479,562,83
2019-10-26 13:40:03.950000,480,561,81
2019-10-26 13:56:51.180000,477,560,84
