date,battery,signal,variation
2019-10-17 06:03:28.170000,518,615,97
2019-10-17 06:37:03.090000,516,618,101
2019-10-17 07:10:38.020000,517,618,101
2019-10-17 07:44:12.970000,519,623,104
2019-10-17 08:17:47.940000,519,623,104
2019-10-17 08:51:22.920000,519,625,106
2019-10-17 09:24:57.880000,517,623,106
2019-10-17 09:58:32.830000,533,642,109
2019-10-17 10:32:07.790000,536,642,106
2019-10-17 11:05:42.740000,535,644,109
2019-10-17 11:39:17.690000,535,642,106
2019-10-17 12:12:52.650000,536,644,107
2019-10-17 12:46:27.600000,534,638,104
2019-10-17 13:20:02.540000,533,644,111
2019-10-17 13:53:37.430000,519,623,104
2019-10-17 14:27:12.200000,499,597,98
2019-10-17 15:00:46.970000,497,586,90
2019-10-17 15:34:21.760000,500,594,93
2019-10-17 16:07:56.530000,500,590,90
2019-10-17 16:41:31.310000,504,602,98
2019-10-17 17:15:06.070000,504,598,93
2019-10-17 17:48:40.850000,505,603,98
2019-10-17 18:22:15.620000,504,598,94
2019-10-17 18:55:50.400000,502,597,95
2019-10-17 22:42:43.490000,504,598,95
2019-10-17 23:16:18.270000,502,598,96
2019-10-17 23:49:53.060000,505,604,100
2019-10-18 00:23:27.840000,504,600,96
2019-10-18 00:57:02.640000,504,605,101
2019-10-18 01:30:37.430000,501,600,100
2019-10-18 02:04:12.230000,503,604,101
2019-10-18 02:37:47.030000,503,601,98
2019-10-18 03:11:21.830000,504,606,102
2019-10-18 10:27:59.220000,508,609,102
2019-10-18 11:01:34.030000,508,615,107
2019-10-18 11:35:08.840000,504,607,103
2019-10-18 12:08:43.660000,507,612,105
2019-10-18 12:42:18.470000,502,603,101
2019-10-18 13:15:53.290000,505,610,106
2019-10-18 13:49:28.090000,501,601,100
2019-10-18 14:23:02.930000,504,607,103
2019-10-18 14:56:37.730000,502,598,97
2019-10-18 15:30:12.520000,503,601,98
2019-10-18 16:03:47.310000,502,601,99
2019-10-18 16:37:22.090000,504,602,98
2019-10-18 17:10:56.880000,505,605,99
2019-10-19 00:29:46.130000,507,602,95
2019-10-19 01:03:20.930000,512,615,103
2019-10-19 01:36:55.780000,516,621,105
2019-10-19 02:10:30.580000,513,613,100
2019-10-19 02:44:05.400000,515,619,104
2019-10-19 03:17:40.220000,512,614,101
2019-10-19 03:51:15.070000,517,622,105
2019-10-19 04:24:49.910000,517,619,103
2019-10-19 04:58:24.750000,520,623,103
2019-10-19 05:31:59.590000,520,622,102
2019-10-19 06:05:34.440000,523,626,103
2019-10-19 06:39:09.290000,523,627,104
2019-10-19 07:12:44.130000,523,627,104
2019-10-19 07:46:18.980000,528,632,104
2019-10-19 08:19:53.830000,525,631,106
2019-10-19 08:53:28.690000,530,637,107
2019-10-19 09:27:03.560000,529,633,104
