power,signal,delta,filtered
40,137,97,21
45,145,100,24
168,168,0,26
131,147,16,28
129,147,18,30
98,149,51,28
222,258,36,26
287,245,-42,21
196,205,9,12
231,222,-9,8
206,200,-6,5
252,253,1,5
286,285,-1,3
263,281,18,1
168,187,19,3
251,236,-15,8
188,214,26,13
130,158,28,21
106,147,41,23
75,147,72,29
57,113,56,32
80,89,9,32
48,114,66,33
55,76,21,33
77,80,3,26
47,65,18,21
67,49,-18,16
85,66,-19,8
39,18,-21,3
0,6,6,0
28,20,-8,-8
35,30,-5,-9
82,77,-5,-6
159,86,-73,-1
114,155,41,1
105,152,47,6
96,175,79,5
152,132,-20,4
149,144,-5,2
243,234,-9,5
229,194,-35,4
213,205,-8,7
196,203,7,3
208,207,-1,-2
203,242,39,-5
280,258,-22,-4
279,255,-24,-3
215,230,15,-1
200,182,-18,0
170,196,26,1
140,116,-24,5
149,138,-11,7
62,136,74,7
150,184,34,10
94,125,31,10
174,142,-32,11
93,106,13,10
87,87,0,11
72,71,-1,10
78,70,-8,9
68,88,20,4
41,50,9,2
28,23,-5,0
15,12,-3,0
23,33,10,0
119,97,-22,3
110,86,-24,6
109,138,29,8
81,152,71,6
118,137,19,5
155,148,-7,5
199,169,-30,5
227,231,4,4
209,221,12,5
251,214,-37,3
197,212,15,0
213,215,2,-1
205,196,-9,-2
249,268,19,0
292,295,3,1
261,266,5,2
171,177,6,6
216,198,-18,12
104,157,53,11
70,100,30,14
73,127,54,13
187,153,-34,13
149,172,23,11
97,108,11,12
95,89,-6,9
66,60,-6,8
105,97,-8,3
77,77,0,-1
47,54,7,-5
71,43,-28,-5
35,17,-18,-7
14,2,-12,-7
30,9,-21,-8
30,49,19,-6
78,70,-8,-4
97,89,-8,-3
84,115,31,-1
153,148,-5,-1
115,142,27,0
152,145,-7,2
194,131,-63,0
139,204,65,-2
224,191,-33,0
227,208,-19,-2
220,207,-13,-2
179,195,16,-4
228,257,29,-6
294,262,-32,-6
278,252,-26,-6
238,237,-1,-10
191,172,-19,-11
196,190,-6,-12
190,145,-45,-12
158,130,-28,-15
154,162,8,-16
149,130,-19,-13
108,105,-3,-12
141,127,-14,-10
69,78,9,-10
62,68,6,-9
95,79,-16,-6
69,56,-13,-5
90,76,-14,-4
46,49,3,-1
17,24,7,0
20,27,7,4
18,56,38,6
111,113,2,5
30,83,53,6
147,143,-4,7
185,129,-56,5
112,152,40,6
200,167,-33,3
141,151,10,-2
211,214,3,-2
266,223,-43,-5
197,202,5,-7
207,208,1,-4
194,185,-9,-2
219,234,15,-1
265,269,4,3
283,285,2,6
236,269,33,8
180,207,27,13
117,178,61,14
220,176,-44,16
106,166,60,13
193,176,-17,15
101,137,36,9
176,125,-51,8
122,142,20,2
133,104,-29,1
100,100,0,-4
66,53,-13,-1
91,86,-5,-6
70,71,1,-5
51,60,9,-3
36,17,-19,1
27,34,7,5
6,52,46,10
64,85,21,9
52,119,67,9
135,119,-16,9
170,137,-33,8
118,120,2,11
199,175,-24,12
89,135,46,9
210,227,17,7
215,227,12,3
209,202,-7,2
193,202,9,6
224,219,-5,11
187,192,5,10
228,263,35,12
274,314,40,10
286,256,-30,9
157,191,34,10
184,186,2,14
156,158,2,15
145,170,25,17
144,172,28,17
80,145,65,15
127,110,-17,14
143,161,18,12
73,75,2,12
93,76,-17,10
71,70,-1,8
50,55,5,5
76,77,1,1
30,24,-6,-1
22,14,-8,-2
1,4,3,-4
14,11,-3,-1
111,98,-13,0
73,52,-21,1
62,126,64,4
161,139,-22,7
80,120,40,12
121,157,36,19
152,156,4,17
54,164,110,18
215,202,-13,20
238,218,-20,14
188,185,-3,13
224,220,-4,13
216,202,-14,9
266,268,2,9
263,288,25,9
271,289,18,0
192,233,41,3
208,216,8,11
240,156,-84,11
61,121,60,13
30,135,105,19
192,163,-29,20
136,150,14,20
75,109,34,24
85,167,82,19
83,82,-1,19
85,83,-2,19
95,73,-22,15
64,64,0,9
86,82,-4,11
53,59,6,9
21,44,23,6
18,36,18,3
39,53,14,6
126,101,-25,13
77,104,27,19
66,104,38,18
81,175,94,21
123,165,42,25
239,160,-79,22
68,146,78,23
186,231,45,26
219,208,-11,21
194,212,18,19
226,216,-10,17
196,204,8,10
194,205,11,11
244,257,13,12
289,292,3,9
240,263,23,10
173,172,-1,12
181,210,29,12
172,221,49,12
139,124,-15,12
189,209,20,9
166,138,-28,8
137,171,34,6
161,121,-40,6
120,112,-8,3
63,93,30,4
74,76,2,1
78,82,4,2
56,72,16,4
41,39,-2,5
27,37,10,5
0,20,20,11
16,16,0,13
97,109,12,14
23,78,55,19
96,111,15,20
95,143,48,21
146,183,37,29
153,145,-8,32
116,164,48,34
69,168,99,37
173,216,43,34
213,227,14,30
180,191,11,27
198,197,-1,23
174,189,15,18
281,248,-33,15
261,265,4,10
261,253,-8,8
211,210,-1,11
168,213,45,16
129,175,46,25
4,97,93,28
83,116,33,37
0,126,126,40
193,160,-33,42
12,133,121,41
200,154,-46,44
94,111,17,33
68,108,40,32
81,77,-4,22
72,73,1,17
91,100,9,12
70,67,-3,9
6,29,23,1
33,28,-5,6
68,45,-23,7
112,87,-25,11
36,99,63,16
51,107,56,24
123,193,70,28
116,155,39,35
78,162,84,39
112,158,46,41
177,225,48,41
208,240,32,40
203,180,-23,32
184,194,10,27
225,221,-4,22
206,200,-6,15
242,267,25,9
279,279,0,6
266,261,-5,3
157,171,14,4
205,209,4,6
165,168,3,6
110,138,28,9
138,147,9,8
173,172,-1,6
70,118,48,9
165,121,-44,8
96,108,12,4
55,90,35,7
119,87,-32,4
87,82,-5,1
69,82,13,2
42,44,2,0
34,32,-2,0
16,7,-9,2
28,26,-2,3
84,110,26,4
73,83,10,7
110,129,19,7
146,167,21,8
156,154,-2,12
176,187,11,14
128,133,5,16
150,217,67,16
210,227,17,15
224,225,1,12
219,223,4,9
218,216,-2,5
227,219,-8,4
303,256,-47,0
293,285,-8,-1
273,284,11,-6
229,183,-46,-9
180,232,52,-13
220,171,-49,-13
146,145,-1,-19
192,128,-64,-13
139,131,-8,-13
155,115,-40,-11
33,78,45,-11
124,107,-17,-7
63,77,14,-9
77,89,12,-4
62,59,-3,-4
70,75,5,-1
61,45,-16,0
46,26,-20,0
5,10,5,0
3,0,-3,1
51,60,9,3
69,99,30,6
101,105,4,6
77,128,51,11
126,145,19,13
202,173,-29,12
70,153,83,13
183,139,-44,13
228,221,-7,8
180,200,20,8
231,216,-15,6
202,214,12,2
231,210,-21,3
213,238,25,2
263,265,2,0
274,278,4,2
260,260,0,0
196,190,-6,-2
184,205,21,-2
188,120,-68,0
150,147,-3,0
135,145,10,3
110,166,56,4
148,143,-5,5
106,139,33,5
58,86,28,6
89,83,-6,5
100,82,-18,9
94,78,-16,11
74,75,1,10
22,56,34,8
11,38,27,8
23,31,8,7
45,53,8,9
95,97,2,15
72,101,29,23
99,136,37,30
103,159,56,34
65,165,100,39
87,138,51,42
105,149,44,42
173,246,73,44
226,238,12,42
216,222,6,36
203,217,14,30
205,205,0,22
203,195,-8,15
264,244,-20,9
277,279,2,6
265,289,24,6
211,182,-29,12
176,222,46,12
115,174,59,17
50,150,100,21
175,129,-46,25
94,130,36,25
101,160,59,28
57,82,25,24
143,122,-21,23
68,68,0,19
82,95,13,13
63,63,0,5
60,72,12,4
59,46,-13,1
44,8,-36,-4
11,2,-9,-7
5,17,12,-7
54,23,-31,-8
99,73,-26,-8
101,98,-3,-4
131,151,20,1
109,130,21,3
137,171,34,4
42,114,72,4
160,120,-40,4
264,228,-36,4
208,208,0,7
208,201,-7,6
186,192,6,2
214,213,-1,0
190,206,16,-3
259,259,0,-4
298,279,-19,-2
260,253,-7,0
169,181,12,4
195,189,-6,5
131,144,13,7
61,123,62,10
188,182,-6,12
121,163,42,14
135,143,8,19
142,174,32,16
66,95,29,16
100,94,-6,15
102,87,-15,13
69,68,-1,8
70,84,14,6
41,48,7,3
46,14,-32,2
19,24,5,0
21,33,12,0
101,107,6,-3
92,107,15,-2
185,148,-37,0
180,137,-43,0
95,125,30,5
102,163,61,10
178,172,-6,9
173,243,70,9
240,242,2,11
218,216,-2,8
224,222,-2,12
235,226,-9,13
206,198,-8,11
256,276,20,11
285,298,13,14
281,303,22,14
144,205,61,19
181,213,32,22
153,194,41,26
105,151,46,31
167,167,0,35
78,136,58,34
136,167,31,36
23,93,70,31
114,105,-9,28
42,69,27,23
107,84,-23,22
73,92,19,15
68,76,8,14
35,39,4,8
40,18,-22,5
8,20,12,3
11,7,-4,9
86,100,14,11
37,59,22,14
34,126,92,15
118,148,30,18
148,123,-25,19
99,133,34,26
127,138,11,28
135,182,47,26
147,207,60,25
212,218,6,21
229,222,-7,13
188,185,-3,12
198,205,7,10
272,231,-41,4
272,286,14,1
267,252,-15,0
244,217,-27,-5
203,215,12,-4
183,199,16,-2
83,94,11,2
187,165,-22,6
146,164,18,8
15,114,99,10
108,122,14,10
172,127,-45,8
73,84,11,9
110,103,-7,7
81,66,-15,1
89,95,6,1
67,53,-14,-1
69,37,-32,-5
9,25,16,-3
26,23,-3,0
28,61,33,0
88,96,8,3
130,113,-17,7
109,155,46,9
168,166,-2,12
87,161,74,13
183,158,-25,11
114,115,1,7
171,191,20,7
268,215,-53,4
189,192,3,4
226,226,0,3
195,202,7,0
231,257,26,-2
273,252,-21,-2
265,273,8,-2
261,253,-8,-5
199,185,-14,-6
176,190,14,-2
218,128,-90,-2
177,187,10,-3
46,121,75,0
189,182,-7,-2
124,139,15,-1
178,154,-24,2
90,92,2,2
54,83,29,4
89,77,-12,9
62,68,6,8
77,83,6,7
38,61,23,9
13,42,29,9
17,26,9,11
11,37,26,9
106,85,-21,7
60,86,26,5
135,103,-32,4
144,142,-2,1
168,148,-20,2
144,131,-13,3
85,115,30,3
220,241,21,3
155,219,64,4
237,199,-38,5
190,203,13,6
211,217,6,9
196,193,-3,10
244,254,10,10
288,284,-4,11
260,296,36,10
177,172,-5,8
178,239,61,10
195,193,-2,8
187,163,-24,4
126,156,30,4
202,141,-61,5
130,135,5,3
172,153,-19,3
54,108,54,0
75,87,12,-1
78,62,-16,-1
84,68,-16,0
56,69,13,0
28,30,2,3
26,29,3,1
13,13,0,3
18,13,-5,2
103,96,-7,3
28,58,30,6
84,114,30,5
124,126,2,5
129,142,13,7
207,169,-38,7
87,114,27,6
148,187,39,8
228,205,-23,6
231,227,-4,4
185,191,6,3
216,231,15,5
210,204,-6,7
272,258,-14,7
242,302,60,8
248,268,20,12
251,213,-38,14
162,230,68,18
105,164,59,22
154,160,6,23
96,120,24,24
113,133,20,31
41,115,74,31
154,117,-37,31
3,130,127,30
63,74,11,30
91,86,-5,21
60,69,9,22
63,70,7,18
86,88,2,13
62,54,-8,9
29,15,-14,9
20,29,9,4
26,38,12,5
62,76,14,6
65,89,24,5
96,111,15,7
135,151,16,5
194,165,-29,3
104,145,41,2
177,110,-67,1
229,212,-17,-3
235,243,8,-2
208,199,-9,-5
193,204,11,-7
230,212,-18,-7
192,199,7,-9
275,263,-12,-8
280,277,-3,-5
297,249,-48,-8
169,191,22,-10
187,195,8,-5
235,147,-88,-5
111,137,26,1
45,105,60,6
116,147,31,8
105,169,64,12
152,145,-7,15
75,115,40,12
107,106,-1,15
106,78,-28,15
86,81,-5,12
84,91,7,8
58,61,3,5
39,32,-7,3
24,35,11,5
32,62,30,4
117,120,3,0
78,123,45,0
152,119,-33,-2
191,120,-71,-7
177,158,-19,-10
163,144,-19,-11
211,188,-23,-15
230,183,-47,-17
205,222,17,-17
232,225,-7,-14
212,222,10,-10
214,209,-5,-7
222,263,41,-7
279,273,-6,-4
326,272,-54,-5
276,256,-20,-4
170,203,33,-7
249,208,-41,-5
153,138,-15,-1
198,157,-41,5
85,169,84,11
57,144,87,20
62,108,46,25
40,124,84,28
37,75,38,30
73,85,12,30
79,61,-18,29
75,71,-4,26
54,56,2,18
54,41,-13,10
30,26,-4,7
0,10,10,6
15,17,2,9
72,105,33,10
16,78,62,12
102,149,47,15
164,151,-13,17
194,181,-13,24
91,129,38,27
129,167,38,29
97,186,89,29
218,211,-7,27
199,241,42,21
191,207,16,19
210,201,-9,16
205,202,-3,15
283,251,-32,11
276,270,-6,6
260,288,28,1
234,222,-12,0
202,225,23,-3
200,163,-37,0
103,103,0,1
113,115,2,6
77,138,61,8
152,164,12,11
88,108,20,8
125,132,7,10
47,67,20,8
89,71,-18,9
66,57,-9,6
76,79,3,4
66,62,-4,-1
64,42,-22,-2
27,15,-12,0
30,13,-17,0
8,44,36,1
60,105,45,0
78,88,10,0
109,122,13,0
234,146,-88,4
98,109,11,2
172,194,22,3
84,134,50,-1
260,209,-51,-5
271,244,-27,-10
227,203,-24,-8
223,226,3,-7
225,204,-21,-3
184,200,16,-2
247,257,10,0
273,280,7,0
223,257,34,9
150,182,32,15
183,198,15,19
112,171,59,22
101,133,32,25
131,153,22,26
104,114,10,27
149,165,16,25
78,142,64,22
112,105,-7,18
102,84,-18,15
70,71,1,14
87,86,-1,11
59,80,21,9
27,58,31,9
30,25,-5,7
25,22,-3,6
32,47,15,8
101,111,10,6
79,102,23,1
138,130,-8,-1
207,157,-50,-6
202,151,-51,-7
127,127,0,-7
182,159,-23,-8
167,195,28,-11
229,215,-14,-11
220,219,-1,-11
239,223,-16,-8
208,210,2,-3
224,240,16,1
288,275,-13,3
281,313,32,4
240,249,9,5
177,196,19,3
200,207,7,6
144,138,-6,7
149,111,-38,10
100,158,58,11
163,157,-6,10
52,111,59,3
136,145,9,2
144,93,-51,-2
125,95,-30,-2
83,57,-26,-1
79,76,-3,-2
61,65,4,-4
44,49,5,-4
4,13,9,-7
16,25,9,-3
23,22,-1,2
100,81,-19,8
0,61,61,7
111,129,18,6
90,133,43,0
201,121,-80,2
124,117,-7,0
216,137,-79,0
119,216,97,-2
221,195,-26,0
236,208,-28,-8
179,204,25,-3
198,196,-2,-4
203,205,2,-2
231,250,19,-1
316,282,-34,-1
265,269,4,-8
209,168,-41,-1
203,198,-5,0
161,138,-23,2
51,139,88,3
171,188,17,3
156,173,17,0
173,173,0,2
155,117,-38,2
101,77,-24,3
83,79,-4,2
80,87,7,0
55,58,3,-5
97,82,-15,-7
45,43,-2,-7
37,29,-8,-4
24,12,-12,0
23,31,8,7
71,103,32,15
28,59,31,22
51,144,93,25
73,142,69,31
45,112,67,31
155,141,-14,33
119,152,33,27
129,120,-9,23
202,213,11,15
315,231,-84,9
187,177,-10,-1
205,209,4,-3
205,189,-16,-9
266,260,-6,-8
252,270,18,-7
270,258,-12,-6
230,243,13,-2
178,192,14,2
176,159,-17,3
39,97,58,0
179,143,-36,2
100,121,21,3
252,160,-92,7
53,107,54,5
72,137,65,7
43,69,26,3
111,85,-26,4
73,56,-17,3
62,73,11,4
72,77,5,2
59,54,-5,4
46,19,-27,0
32,31,-1,-1
37,37,0,4
103,101,-2,10
36,95,59,18
65,141,76,23
97,139,42,23
72,163,91,26
144,147,3,30
200,168,-32,27
182,212,30,27
219,224,5,25
213,226,13,15
212,207,-5,11
206,204,-2,6
219,208,-11,1
246,263,17,1
299,303,4,1
271,257,-14,-5
157,165,8,-8
227,186,-41,-8
189,142,-47,-6
143,117,-26,0
62,102,40,1
